Frog	Tiny	Beast		Unaligned	0	0	mm 322
Sea Horse	Tiny	Beast		Unaligned	0	0	mm 337
Awakened Shrub	Small	Plant		Unaligned	0	10	mm 317
Baboon	Small	Beast		Unaligned	0	10	mm 318
Badger	Tiny	Beast		Unaligned	0	10	mm 318
Bat	Tiny	Beast		Unaligned	0	10	mm 318
Cat	Tiny	Beast		Unaligned	0	10	mm 320
Commoner	Medium	Humanoid		Any	0	10	mm 344
Crab	Tiny	Beast		Unaligned	0	10	mm 320
Cranium Rat	Tiny	Beast		LE	0	10	vgm 133
Crawling Claw	Tiny	Undead		NE	0	10	mm 44
Deer	Medium	Beast		Unaligned	0	10	mm 321
Eagle	Small	Beast		Unaligned	0	10	mm 322
Giant Fire Beetle	Small	Beast		Unaligned	0	10	mm 325
Goat	Medium	Beast		Unaligned	0	10	mm 330
Hawk	Tiny	Beast		Unaligned	0	10	mm 330
Homunculus	Tiny	Construct		N	0	10	mm 188
Hyena	Medium	Beast		Unaligned	0	10	mm 331
Jackal	Small	Beast		Unaligned	0	10	mm 331
Lemure	Medium	Fiend	devil	LE	0	10	mm 76
Lizard	Tiny	Beast		Unaligned	0	10	mm 332
Myconid Sprout	Small	Plant		LN	0	10	mm 230
Octopus	Small	Beast		Unaligned	0	10	mm 333
Owl	Tiny	Beast		Unaligned	0	10	mm 333
Quipper	Tiny	Beast		Unaligned	0	10	mm 335
Rat	Tiny	Beast		Unaligned	0	10	mm 335
Raven	Tiny	Beast		Unaligned	0	10	mm 335
Scorpion	Tiny	Beast		Unaligned	0	10	mm 337
Shrieker	Medium	Plant		Unaligned	0	10	mm 138
Spider	Tiny	Beast		Unaligned	0	10	mm 337
Vulture	Medium	Beast		Unaligned	0	10	mm 339
Weasel	Tiny	Beast		Unaligned	0	10	mm 340
Bandit	Medium	Humanoid		Any non-lawful	1/8	25	mm 343
Blood Hawk	Small	Beast		Unaligned	1/8	25	mm 319
Boggle	Small	Fey		CN	1/8	25	vgm 128
Camel	Large	Beast		Unaligned	1/8	25	mm 320
Cultist	Medium	Humanoid		Any non-good	1/8	25	mm 345
Dolphin	Medium	Beast		Unaligned	1/8	25	vgm 208
Flumph	Small	Aberration		LG	1/8	25	mm 135
Flying Snake	Tiny	Beast		Unaligned	1/8	25	mm 322
Giant Crab	Medium	Beast		Unaligned	1/8	25	mm 324
Giant Rat	Small	Beast		Unaligned	1/8	25	mm 327
Giant Weasel	Medium	Beast		Unaligned	1/8	25	mm 329
Guard	Medium	Humanoid			1/8	25	mm 347
Kobold	Small	Humanoid	kobold	LE	1/8	25	mm 195
Manes	Small	Fiend	demon	CE	1/8	25	mm 60
Mastiff	Medium	Beast		Unaligned	1/8	25	mm 332
Merfolk	Medium	Humanoid	merfolk	N	1/8	25	mm 218
Monodrone	Medium	Construct		LN	1/8	25	mm 224
Mule	Medium	Beast		Unaligned	1/8	25	mm 333
Neogi Hatchling	Tiny	Aberration		LE	1/8	25	vgm 179
Noble	Medium	Humanoid			1/8	25	mm 348
Poisonous Snake	Tiny	Beast		Unaligned	1/8	25	mm 334
Pony	Medium	Beast		Unaligned	1/8	25	mm 335
Slaad Tadpole	Tiny	Aberration		CN	1/8	25	mm 276
Stirge	Tiny	Beast		Unaligned	1/8	25	mm 284
Tribal Warrior	Medium	Humanoid			1/8	25	mm 350
Twig Blight	Small	Plant		NE	1/8	25	mm 32
Xvart	Small	Humanoid	xvart	CE	1/8	25	vgm 200
Young Kruthik	Small	Monstrosity		Unaligned	1/8	25	mtf 211
Aarakocra	Medium	Humanoid	aarakocra	NG	1/4	50	mm 12
Abyssal Wretch	Medium	Fiend	demon	CE	1/4	50	mtf 136
Acolyte	Medium	Humanoid		Any	1/4	50	mm 342
Axe Beak	Large	Beast		Unaligned	1/4	50	mm 317
Blink Dog	Medium	Fey		LG	1/4	50	mm 318
Boar	Medium	Beast		Unaligned	1/4	50	mm 319
Bullywug	Medium	Humanoid	bullywug	NE	1/4	50	mm 35
Constrictor Snake	Large	Beast		Unaligned	1/4	50	mm 320
Cow	Large	Beast		Unaligned	1/4	50	vgm 207
Deep Rothe	Medium	Beast		Unaligned	1/4	50	vgm 207
Derro	Small	Humanoid	derro	CE	1/4	50	mtf 158
Dimetrodon	Medium	Beast		Unaligned	1/4	50	vgm 139
Draft Horse	Large	Beast		Unaligned	1/4	50	mm 321
Dretch	Small	Fiend	demon	CE	1/4	50	mm 57
Drow	Medium	Humanoid	elf	NE	1/4	50	mm 128
Duodrone	Medium	Construct		LN	1/4	50	mm 225
Elk	Large	Beast		Unaligned	1/4	50	mm 322
Flying Sword	Small	Construct		Unaligned	1/4	50	mm 20
Giant Badger	Medium	Beast		Unaligned	1/4	50	mm 323
Giant Bat	Large	Beast		Unaligned	1/4	50	mm 323
Giant Centipede	Small	Beast		Unaligned	1/4	50	mm 323
Giant Frog	Medium	Beast		Unaligned	1/4	50	mm 325
Giant Lizard	Large	Beast		Unaligned	1/4	50	mm 326
Giant Owl	Large	Beast		N	1/4	50	mm 327
Giant Poisonous Snake	Medium	Beast		Unaligned	1/4	50	mm 327
Giant Wolf Spider	Medium	Beast		Unaligned	1/4	50	mm 330
Gnoll Witherling	Medium	Undead		CE	1/4	50	vgm 155
Goblin	Small	Humanoid	goblinoid	NE	1/4	50	mm 166
Grimlock	Medium	Humanoid	grimlock	NE	1/4	50	mm 175
Grung	Small	Humanoid	grung	LE	1/4	50	vgm 156
Hadrosaurus	Large	Beast		Unaligned	1/4	50	vgm 140
Kenku	Medium	Humanoid	kenku	CN	1/4	50	mm 194
